id	locationID	locality	countryCode	occurrenceStatus	establishmentMeans	occurrenceRemarks
10250	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
10251	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
10252	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
10253	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
10254	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
10255	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
10256	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
10257	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
10258	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
10259	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Cryptogeni|Uncertain	
10260	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
10261	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
10262	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
10263	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
10264	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Cryptogeni|Uncertain	
10265	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
10266	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
10267	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
10268	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
10269	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
10270	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
10271	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
10272	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
10273	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
10274	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
10275	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
10276	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
10277	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
10278	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
10279	https://www.protectedplanet.net/archipielago-juan-fernandez-unesco-mab-biosphere-reserve	Archipielago Juan Fernández	CL	Present	Alien	
