id	taxonID	scientificName	acceptedNameUsage	kingdom	phylum	class	order	family	taxonRank	taxonomicStatus	taxonRemarks	modified
11000	11000	Amphibalanus improvisus	Amphibalanus improvisus (Darwin, 1854)	Animalia	Arthropoda	Maxillopoda	Sessilia	Balanidae	SPECIES	ACCEPTED		2025
11001	11001	Anguillicoloides crassus	Anguillicola crassus Kuwahara, Niimi & Itagaki, 1974	Animalia	Nematoda	Chromadorea	Rhabditida	Anguillicolidae	SPECIES	SYNONYM		2025
11002	11002	Aphelochaeta marioni	Aphelochaeta marioni (Saint-Joseph, 1894)	Animalia	Annelida	Polychaeta		Cirratulidae	SPECIES	ACCEPTED		2025
11003	11003	Austrominius modestus	Austrominius modestus (Darwin, 1854)	Animalia	Arthropoda			Elminiidae	SPECIES	ACCEPTED		2025
11004	11004	Caprella mutica	Caprella mutica Schurin, 1935	Animalia	Arthropoda	Malacostraca	Amphipoda	Caprellidae	SPECIES	ACCEPTED		2025
11005	11005	Chattonella marina var. antiqua	Chattonella marina var. antiqua (Hada) Demura & Kawachi, 2009	Chromista	Ochrophyta	Raphidophyceae	Chattonellales	Chattonellaceae	SPECIES	ACCEPTED		2025
11006	11006	Colpomenia peregrina	Colpomenia peregrina Sauvageau, 1927	Chromista	Ochrophyta	Phaeophyceae	Scytosiphonales	Scytosiphonaceae	SPECIES	ACCEPTED		2025
11007	11007	Cordylophora caspia	Cordylophora caspia (Pallas, 1771)	Animalia	Cnidaria	Hydrozoa	Anthoathecata	Cordylophoridae	SPECIES	ACCEPTED		2025
11008	11008	Crassostrea gigas	Magallana gigas (Thunberg, 1793)	Animalia	Mollusca	Bivalvia	Ostreida	Ostreidae	SPECIES	ACCEPTED		2025
11009	11009	Crepidula fornicata	Crepidula fornicata (Linnaeus, 1758)	Animalia	Mollusca	Gastropoda	Littorinimorpha	Calyptraeidae	SPECIES	ACCEPTED		2025
11010	11010	Diplosoma listerianum	Diplosoma listerianum (Milne Edwards, 1841)	Animalia	Chordata	Ascidiacea	Aplousobranchia	Didemnidae	SPECIES	ACCEPTED		2025
11011	11011	Ensis directus	Ensis directus (Conrad, 1844)	Animalia	Mollusca	Bivalvia	Adapedonta	Pharidae	SPECIES	ACCEPTED		2025
11012	11012	Eriocheir sinensis	Eriocheir sinensis H. Milne Edwards, 1853	Animalia	Arthropoda	Malacostraca	Decapoda	Varunidae	SPECIES	ACCEPTED		2025
11013	11013	Eteone heteropoda	Hypereteone heteropoda (Hartman, 1951)	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	SPECIES	SYNONYM		2025
11014	11014	Gracilaria vermiculophylla	Gracilaria vermiculophylla (Ohmi) Papenfuss, 1967	Plantae	Rhodophyta	Florideophyceae	Gracilariales	Gracilariaceae	SPECIES	ACCEPTED		2025
11015	11015	Hemigrapsus sanguineus	Hemigrapsus sanguineus (De Haan, 1835)	Animalia	Arthropoda	Malacostraca	Decapoda	Varunidae	SPECIES	ACCEPTED		2025
11016	11016	Hemigrapsus takanoi	Hemigrapsus takanoi Asakura & Watanabe, 2005	Animalia	Arthropoda	Malacostraca	Decapoda	Varunidae	SPECIES	ACCEPTED		2025
11017	11017	Jassa marmorata	Jassa marmorata Holmes, 1905	Animalia	Arthropoda	Malacostraca	Amphipoda	Ischyroceridae	SPECIES	ACCEPTED		2025
11018	11018	Marenzelleria viridis	Marenzelleria viridis (Verrill, 1873)	Animalia	Annelida	Polychaeta		Spionidae	SPECIES	ACCEPTED		2025
11019	11019	Microphthalmus similis	Microphthalmus similis Bobretzky, 1870	Animalia	Annelida	Polychaeta	Phyllodocida	Hesionidae	SPECIES	ACCEPTED		2025
11020	11020	Mnemiopsis leidyi	Mnemiopsis leidyi A. Agassiz, 1865	Animalia	Ctenophora	Tentaculata	Lobata	Bolinopsidae	SPECIES	ACCEPTED		2025
