id	isInvasive
28708	Null
28709	Yes
28710	Null
28711	Null
28712	Null
28713	Null
28714	Null
28715	Null
28716	Null
28717	Null
28718	Null
28719	Null
28720	Null
28721	Null
28722	Null
28723	Null
28724	Null
28725	Null
28726	Null
28727	Null
28728	Null
28729	Null
28730	Null
28731	Null
28732	Null
28733	Null
28734	Null
28735	Null
28736	Null
28737	Null
28738	Null
28739	Null
28740	Null
28741	Null
28742	Null
28743	Null
28744	Null
28745	Null
28746	Null
28747	Null
28748	Null
28749	Null
28750	Null
28751	Null
28752	Null
28753	Null
28754	Null
28755	Null
28756	Null
28757	Null
28758	Null
28759	Null
28760	Null
28761	Null
28762	Null
28763	Null
28764	Null
28765	Null
28766	Null
28767	Null
28768	Null
28769	Null
28770	Null
28771	Null
28772	Null
28773	Null
28774	Null
28775	Null
28776	Null
28777	Null
28778	Null
28779	Null
28780	Null
28781	Null
28782	Null
28783	Null
28784	Null
28785	Null
28786	Null
28787	Null
28788	Null
28789	Null
28790	Null
28791	Null
28792	Null
28793	Null
28794	Null
28795	Null
28796	Null
28797	Null
28798	Null
28799	Null
28800	Null
28801	Null
28802	Null
28803	Null
28804	Null
28805	Null
28806	Null
28807	Null
28808	Null
28809	Null
28810	Null
28811	Null
28812	Null
28813	Null
28814	Null
28815	Null
28816	Null
28817	Null
28818	Null
28819	Null
28820	Null
28821	Null
28822	Null
28823	Null
28824	Null
28825	Null
28826	Null
28827	Null
28828	Null
28829	Null
28830	Null
28831	Null
28832	Yes
28833	Null
28834	Null
28835	Null
28836	Null
28837	Null
28838	Null
28839	Null
28840	Null
28841	Null
28842	Null
28843	Null
28844	Null
28845	Null
28846	Null
28847	Null
28848	Null
28849	Null
28850	Null
28851	Null
28852	Null
28853	Null
28854	Null
28855	Null
28856	Null
28857	Null
28858	Null
28859	Null
28860	Yes
28861	Null
28862	Null
28863	Null
28864	Yes
28865	Null
28866	Null
28867	Null
28868	Null
28869	Null
28870	Null
28871	Null
28872	Null
28873	Null
28874	Null
28875	Null
28876	Null
28877	Null
28878	Null
28879	Null
28880	Null
28881	Null
28882	Null
28883	Null
28884	Null
28885	Null
28886	Null
28887	Null
28888	Null
28889	Null
28890	Null
28891	Null
28892	Null
28893	Null
28894	Null
28895	Null
28896	Null
28897	Null
28898	Null
28899	Null
28900	Null
28901	Null
28902	Null
28903	Null
28904	Null
28905	Null
28906	Null
28907	Null
28908	Null
28909	Null
28910	Null
28911	Null
28912	Yes
28913	
28914	Null
28915	Null
28916	Null
28917	Null
28918	Null
28919	Null
28920	Null
28921	Null
28922	Null
28923	Null
28924	Null
28925	Null
28926	Null
28927	Null
28928	Null
28929	Null
28930	Null
28931	Null
28932	Null
28933	Null
28934	Null
28935	Null
28936	Null
28937	Null
28938	Null
28939	Null
28940	Yes
28941	Null
28942	Yes
28943	Null
28944	Null
28945	Null
28946	Null
28947	Null
28948	Null
28949	Null
28950	Null
28951	Null
28952	Null
28953	Null
28954	Null
28955	Null
28956	Null
28957	Null
28958	Null
28959	Null
28960	Null
28961	Null
28962	Null
28963	Null
28964	Null
28965	Null
28966	Null
28967	Null
28968	Null
28969	Null
28970	Null
28971	Null
28972	Yes
28973	Null
28974	Null
28975	Null
28976	Yes
28977	Null
28978	Null
28979	Null
28980	Null
28981	Null
28982	Null
28983	Null
28984	Null
28985	Null
28986	Null
28987	Yes
28988	Null
28989	Null
28990	Null
28991	Null
28992	Null
28993	Null
28994	Null
28995	Null
28996	Null
28997	Null
28998	Null
28999	Null
29000	Null
29001	Yes
29002	Null
29003	Null
29004	Null
29005	Null
29006	Null
29007	Null
29008	Yes
29009	Null
29010	Null
29011	Null
29012	Null
29013	Null
29014	Null
29015	Null
29016	Null
29017	Null
29018	Null
29019	Null
29020	Null
29021	Null
29022	Null
29023	Null
29024	Null
29025	Null
29026	Null
29027	Null
29028	Null
29029	Null
29030	Yes
29031	Null
29032	Null
29033	Null
29034	Null
29035	Null
29036	Null
29037	Null
29038	Null
29039	Null
29040	Null
29041	Null
29042	Null
29043	Null
29044	Null
29045	Null
29046	Null
29047	Null
29048	Null
29049	Null
29050	Null
29051	Null
29052	Null
29053	Null
29054	Null
29055	Null
29056	Null
29057	Null
29058	Yes
29059	Null
29060	Null
29061	Null
29062	Null
29063	Null
29064	Null
29065	Null
29066	Null
29067	Null
29068	Null
29069	Null
29070	Null
29071	Null
29072	Null
29073	Null
29074	Null
29075	Null
29076	Null
29077	Yes
29078	Null
29079	Null
29080	Null
29081	Null
29082	Null
29083	Null
29084	Null
29085	Null
29086	Null
29087	Null
29088	Null
29089	Null
29090	Null
29091	Null
29092	Null
29093	Null
29094	Null
29095	Null
29096	Null
29097	Null
29098	Null
29099	Null
29100	Null
29101	Null
29102	Null
29103	Null
29104	Null
29105	Null
29106	Null
29107	Null
29108	Null
29109	Null
29110	Null
29111	Yes
29112	Null
29113	Null
29114	Null
29115	Null
29116	Null
29117	Null
29118	Null
29119	Null
29120	Null
29121	Null
29122	Null
29123	Null
29124	Null
29125	Null
29126	Null
29127	Null
29128	Null
29129	Yes
29130	Null
29131	Null
29132	Null
29133	Null
29134	Null
29135	Null
29136	Null
29137	Null
29138	Null
29139	Null
29140	Null
29141	Null
29142	Null
29143	Null
29144	Null
29145	Null
29146	Null
29147	Null
29148	Null
29149	Null
29150	Null
29151	Null
