id	locality	countryCode	occurrenceStatus	establishmentMeans	pathway	eventDate
165000	Cootamundra wattle	NZ	present	introduced		
165001	silver wattle	NZ	present	introduced		
165002	Sydney golden wattle and coastal wattle	NZ	present	introduced		
165003	black wattle	NZ	present	introduced		
165004	blackwood	NZ	present	introduced		
165005	kangaroo acacia	NZ	present	introduced		
165006	prickly moses	NZ	present	introduced		
165007	bear’s breeches	NZ	present	introduced		
165008		NZ	present	introduced		
165009	box elder	NZ	present	introduced		
165010	sycamore	NZ	present	introduced		
165011		NZ	present	introduced		
165012	kiwifruit	NZ	present	introduced		
165013	maidenhair	NZ	present	introduced		
165014	agapanthus	NZ	present	introduced		
165015	century plant	NZ	present	introduced		
165016	Mexican devil	NZ	present	introduced		
165017	mistflower	NZ	present	introduced		
165018	blue billy goat weed	NZ	present	introduced		
165019		NZ	present	introduced		
165020	browntop	NZ	present	introduced		
165021	tree of heaven	NZ	present	introduced		
165022	chocolate vine	NZ	present	introduced		
165023		NZ	present	introduced		
165024		NZ	present	introduced		
165025	onion weed	NZ	present	introduced		
165026	common alder	NZ	present	introduced		
165027	elephant’s ears	NZ	present	introduced		
165028	spotted aloe	NZ	present	introduced		
165029	alligator weed	NZ	present	introduced		
165030		NZ	present	introduced		
165031		NZ	present	introduced		
165032		NZ	present	introduced		
165033		NZ	present	introduced		
165034		NZ	present	introduced		
165035		NZ	present	introduced		
165036		NZ	present	introduced		
165037		NZ	present	introduced		
165038		NZ	present	introduced		
165039		NZ	present	introduced		
165040	monkey's comb	NZ	present	introduced		
165041		NZ	present	introduced		
165042		NZ	present	introduced		
165043	broomsedge	NZ	present	introduced		
165044	angelica	NZ	present	introduced		
165045		NZ	present	introduced		
165046	Madeira vine	NZ	present	introduced		
165047		NZ	present	introduced		
165048		NZ	present	introduced		
165049		NZ	present	introduced		
165050		NZ	present	introduced		
165051	Cape pondweed	NZ	present	introduced		
165052	moth plant	NZ	present	introduced		
165053		NZ	present	introduced		
165054	Bangalow palm	NZ	present	introduced		
165055	common burdock	NZ	present	introduced		
165056		NZ	present	introduced		
165057	Asian bag mussel	NZ	present	introduced		1978
165058		NZ	present	introduced		
165059		NZ	present	introduced		
165060		NZ	present	introduced		
165061		NZ	present	introduced		
165062	blue-eyed iris	NZ	present	introduced		
165063	Chinese mugwort	NZ	present	introduced		
165064	Italian arum	NZ	present	introduced		
165065	giant reed	NZ	present	introduced		
165066		NZ	present	introduced		
165067	bushy asparagus	NZ	present	introduced		
165068	smilax	NZ	present	introduced		
165069	climbing asparagus	NZ	present	introduced		
165070		NZ	present	introduced		
165071		NZ	present	introduced		
165072		NZ	present	introduced		
165073	asphodel	NZ	present	introduced		
165074		NZ	present	introduced		
165075		NZ	present	introduced		
165076		NZ	present	introduced		
165077		NZ	present	introduced		
165078		NZ	present	introduced		
165079	ferny azolla	NZ	present	introduced		
165080	baccharis	NZ	present	introduced		
165081	coastal banksia	NZ	present	introduced		
165082		NZ	present	introduced		
165083		NZ	present	introduced		1976
165084		NZ	present	introduced		
165085	bartlettina	NZ	present	introduced		
165086		NZ	present	introduced		2019
165087	lawn daisy	NZ	present	introduced		
165088	Darwin’s barberry	NZ	present	introduced		
165089	barberry	NZ	present	introduced		
165090	silver birch	NZ	present	introduced		
165091	Mysore thorn	NZ	present	introduced		
165092	beggars’ ticks	NZ	present	introduced		
165093		NZ	present	introduced		
165094		NZ	present	introduced		
165095		NZ	present	introduced		
165096		NZ	present	introduced		
165097	bomarea	NZ	present	introduced		
165098		NZ	present	introduced		
165099		NZ	present	introduced		
165100		NZ	present	introduced		
165101		NZ	present	introduced		
165102		NZ	present	introduced		2019
165103		NZ	present	introduced		
165104		NZ	present	introduced		
165105		NZ	present	introduced		
165106		NZ	present	introduced		
165107	downy brome	NZ	present	introduced		
165108	white bryony	NZ	present	introduced		
165109	buddleia	NZ	present	introduced		
165110	orange Madagascar buddleia	NZ	present	introduced		
165111		NZ	present	introduced		
165112		NZ	present	introduced		
165113		NZ	present	introduced		
165114		NZ	present	introduced		
165115		NZ	present	introduced		
165116		NZ	present	introduced		
165117	marram	NZ	present	introduced		
165118		NZ	present	introduced		
165119	oxylobium	NZ	present	introduced		
165120	heather	NZ	present	introduced		
165121		NZ	present	introduced		
165122	greater bindweed	NZ	present	introduced		
165123		NZ	present	introduced		
165124	Indian shot	NZ	present	introduced		
165125		NZ	present	introduced		
165126		NZ	present	introduced		
165127		NZ	present	introduced		
165128		NZ	present	introduced		
165129		NZ	present	introduced		
165130		NZ	present	introduced		
165131		NZ	present	introduced		
165132		NZ	present	introduced		
165133		NZ	present	introduced		
165134		NZ	present	introduced		
165135		NZ	present	introduced		
165136	European yellow sedge	NZ	present	introduced		
165137	divided sedge	NZ	present	introduced		
165138	grey sedge	NZ	present	introduced		
165139	blue sedge	NZ	present	introduced		
165140	oval sedge	NZ	present	introduced		
165141	Australian sedge	NZ	present	introduced		
165142	sallow sedge	NZ	present	introduced		
165143	pendulous sedge	NZ	present	introduced		
165144	broom sedge	NZ	present	introduced		
165145	purple-flowered iceplant	NZ	present	introduced		
165146	iceplant	NZ	present	introduced		
165147	swamp she-oak	NZ	present	introduced		
165148	sea mustard	NZ	present	introduced		2021
165149		NZ	present	introduced		2021
165150		NZ	present	introduced		
165151	climbing spindleberry	NZ	present	introduced		
165152		NZ	present	introduced		
165153		NZ	present	introduced		
165154		NZ	present	introduced		
165155	Chinese fountain grass	NZ	present	introduced		
165156	African feather grass	NZ	present	introduced		
165157	Kikuyu grass	NZ	present	introduced		
165158	feathertop	NZ	present	introduced		
165159	elephant grass	NZ	present	introduced		
165160	African fountain grass	NZ	present	introduced		
165161	spur valerian	NZ	present	introduced		
165162	hornwort	NZ	present	introduced		
165163		NZ	present	introduced		
165164		NZ	present	introduced		
165165		NZ	present	introduced		
165166		NZ	present	introduced		
165167	orange cestrum 	NZ	present	introduced		
165168	red cestrum	NZ	present	introduced		
165169	red cestrum	NZ	present	introduced		
165170	night-blooming jasmine	NZ	present	introduced		
165171		NZ	present	introduced		2022
165172	tagasaste	NZ	present	introduced		
165173		NZ	present	introduced		
165174	Asian paddle crab	NZ	present	introduced		2000
165175		NZ	present	introduced		1986
165176		NZ	present	introduced		
165177	spider plant	NZ	present	introduced		
165178		NZ	present	introduced		
165179		NZ	present	introduced		
165180		NZ	present	introduced		
165181	Italian jasmine	NZ	present	introduced		
165182		NZ	present	introduced		
165183		NZ	present	introduced		
165184		NZ	present	introduced		
165185		NZ	present	introduced		
165186	Californian thistle	NZ	present	introduced		
165187	Scotch thistle	NZ	present	introduced		
165188		NZ	present	introduced		
165189		NZ	present	introduced		
165190		NZ	present	introduced		2019
165191		NZ	present	introduced		
165192		NZ	present	introduced		2019
165193	fragrant virgin’s bower	NZ	present	introduced		
165194	sweet autumn clematis	NZ	present	introduced		
165195	old man’s beard	NZ	present	introduced		
165196		NZ	present	introduced		
165197		NZ	present	introduced		
165198		NZ	present	introduced		
165199	cathedral bells	NZ	present	introduced		
165200		NZ	present	introduced		
165201		NZ	present	introduced		
165202		NZ	present	introduced		
165203		NZ	present	introduced		
165204		NZ	present	introduced		
165205		NZ	present	introduced		
165206		NZ	present	introduced		
165207		NZ	present	introduced		
165208		NZ	present	introduced		
165209		NZ	present	introduced		
165210	strawberry dogwood	NZ	present	introduced		
165211	purple pampas	NZ	present	introduced		
165212	white pampas	NZ	present	introduced		
165213		NZ	present	introduced		
165214		NZ	present	introduced		
165215		NZ	present	introduced		
165216		NZ	present	introduced		
165217	milk-flower cotoneaster	NZ	present	introduced		
165218	Franchet’s cotoneaster	NZ	present	introduced		
165219	large-leaved cotoneaster	NZ	present	introduced		
165220	Khasia berry	NZ	present	introduced		
165221		NZ	present	introduced		
165222	pig’s ear	NZ	present	introduced		
165223		NZ	present	introduced		1956
165224		NZ	present	introduced		
165225		NZ	present	introduced		
165226	fairy crassula	NZ	present	introduced		
165227	hawthorn	NZ	present	introduced		
165228	montbretia	NZ	present	introduced		
165229		NZ	present	introduced		
165230		NZ	present	introduced		
165231	macrocarpa	NZ	present	introduced		
165232	golden dodder	NZ	present	introduced		
165233		NZ	present	introduced		
165234		NZ	present	introduced		
165235		NZ	present	introduced		
165236		NZ	present	introduced		
165237	Indian doab	NZ	present	introduced		
165238	umbrella sedge	NZ	present	introduced		
165239	nutgrass	NZ	present	introduced		
165240		NZ	present	introduced	Ornamental	1983
165241	holly fern	NZ	present	introduced		
165242	white broom	NZ	present	introduced		
165243	Scotch broom	NZ	present	introduced		
165244		NZ	present	introduced		
165245		NZ	present	introduced		
165246	cocksfoot	NZ	present	introduced		
165247		NZ	present	introduced		
165248		NZ	present	introduced		
165249	thornapple	NZ	present	introduced		
165250	German ivy	NZ	present	introduced		
165251		NZ	present	introduced		
165252		NZ	present	introduced		
165253		NZ	present	introduced		
165254		NZ	present	introduced		
165255		NZ	present	introduced		
165256		NZ	present	introduced		
165257		NZ	present	introduced		
165258		NZ	present	introduced		2022
165259		NZ	present	introduced		
165260		NZ	present	introduced		
165261	foxglove	NZ	present	introduced		
165262	dimorphotheca	NZ	present	introduced		
165263		NZ	present	introduced		
165264	mile a minute	NZ	present	introduced		
165265		NZ	present	introduced		
165266		NZ	present	introduced		
165267		NZ	present	introduced		
165268		NZ	present	introduced		
165269	cat’s claw creeper	NZ	present	introduced		
165270	scaly male fern	NZ	present	introduced		
165271	male fern	NZ	present	introduced		
165272	Chilean glory creeper	NZ	present	introduced		
165273	viper’s bugloss	NZ	present	introduced		
165274		NZ	present	introduced		
165275		NZ	present	introduced		
165276		NZ	present	introduced		
165277	veldt grass	NZ	present	introduced		
165278	pyp grass	NZ	present	introduced		
165279	elaeagnus	NZ	present	introduced		
165280		NZ	present	introduced		
165281	Canadian pondweed	NZ	present	introduced		
165282	dense waterweed	NZ	present	introduced		
165283		NZ	present	introduced		
165284		NZ	present	introduced		
165285		NZ	present	introduced		
165286	Chilean fire bush	NZ	present	introduced		
165287		NZ	present	introduced		
165288	great willowherb	NZ	present	introduced		
165289	field horsetail	NZ	present	introduced		
165290		NZ	present	introduced		
165291	African love grass	NZ	present	introduced		
165292		NZ	present	introduced		
165293	tree heath	NZ	present	introduced		
165294	berry heath	NZ	present	introduced		
165295	hedge heath	NZ	present	introduced		
165296	bell heather	NZ	present	introduced		
165297	Spanish heath	NZ	present	introduced		
165298	Cornish heath	NZ	present	introduced		
165299		NZ	present	introduced		
165300	Mexican daisy	NZ	present	introduced		
165301		NZ	present	introduced		
165302	monkey musk	NZ	present	introduced		
165303	Australian coral tree	NZ	present	introduced		
165304	California poppy	NZ	present	introduced		
165305	alpine ash	NZ	present	introduced		
165306		NZ	present	introduced		
165307		NZ	present	introduced		
165308		NZ	present	introduced		
165309	Australian droplet tunicate	NZ	present	introduced		2005
165310	spindle tree 	NZ	present	introduced		
165311	Japanese spindleberry	NZ	present	introduced		
165312	hemp agrimony	NZ	present	introduced		
165313	sea spurge	NZ	present	introduced		
165314	fatsia	NZ	present	introduced		
165315		NZ	present	introduced		
165316		NZ	present	introduced		
165317	red fescue	NZ	present	introduced		
165318		NZ	present	introduced		
165319	Moreton Bay fig 	NZ	present	introduced		
165320		NZ	present	introduced		
165321	ash	NZ	present	introduced		
165322		NZ	present	introduced		
165323	Bolivian fuchsia	NZ	present	introduced		
165324	Mauritius hemp	NZ	present	introduced		
165325	wild sisal	NZ	present	introduced		
165326		NZ	present	introduced		2019
165327		NZ	present	introduced		
165328		NZ	present	introduced		
165329		NZ	present	introduced		
165330	Montpellier broom	NZ	present	introduced		
165331	horned poppy	NZ	present	introduced		
165332		NZ	present	introduced		
165333	blue sweet grass	NZ	present	introduced		
165334	floating sweetgrass	NZ	present	introduced		
165335	reed sweetgrass	NZ	present	introduced		
165336		NZ	present	introduced		2004
165337		NZ	present	introduced		
165338		NZ	present	introduced		2020
165339		NZ	present	introduced		
165340		NZ	present	introduced		
165341		NZ	present	introduced		
165342		NZ	present	introduced		
165343	Chilean rhubarb	NZ	present	introduced		
165344	Senegal tea	NZ	present	introduced		
165345		NZ	present	introduced		
165346	downy hakea	NZ	present	introduced		
165347	willow-leaved hakea	NZ	present	introduced		
165348	prickly hakea	NZ	present	introduced		
165349		NZ	present	introduced		
165350	Canary Islands ivy 	NZ	present	introduced		
165351	English ivy	NZ	present	introduced		
165352	yellow ginger	NZ	present	introduced		
165353	wild ginger	NZ	present	introduced		
165354	liquorice plant	NZ	present	introduced		
165355		NZ	present	introduced		
165356	water celery	NZ	present	introduced		
165357		NZ	present	introduced		
165358		NZ	present	introduced		
165359	tussock hawkweed	NZ	present	introduced		
165360		NZ	present	introduced		2017
165361	Yorkshire fog	NZ	present	introduced		
165362		NZ	present	introduced		
165363	Queensland poplar	NZ	present	introduced		
165364		NZ	present	introduced		
165365	hops	NZ	present	introduced		
165366	hydrangea	NZ	present	introduced		
165367		NZ	present	native|introduced		
165368		NZ	present	introduced		
165369		NZ	present	introduced		
165370		NZ	present	introduced		
165371	tutsan	NZ	present	introduced		
165372	St John’s wort	NZ	present	introduced		
165373		NZ	present	introduced		
165374		NZ	present	introduced		
165375		NZ	present	introduced		
165376	holly	NZ	present	introduced		
165377	Himalayan balsam	NZ	present	introduced		
165378	shrub balsam	NZ	present	introduced		
165379	blood grass	NZ	present	introduced		
165380	blue morning glory	NZ	present	introduced		
165381	stinking iris	NZ	present	introduced		
165382	yellow flag iris	NZ	present	introduced		
165383	ragwort	NZ	present	introduced		
165384		NZ	present	introduced		
165385	white jasmine	NZ	present	introduced		
165386		NZ	present	introduced		
165387		NZ	present	introduced		
165388		NZ	present	introduced		
165389	Japanese walnut	NZ	present	introduced		
165390	sharp rush	NZ	present	introduced		
165391	jointed rush	NZ	present	introduced		
165392	bulbous rush	NZ	present	introduced		
165393	heath rush	NZ	present	introduced		
165394	air plant	NZ	present	introduced		
165395	dusky coral pea	NZ	present	introduced		
165396	lakeweed	NZ	present	introduced		
165397	Norfolk Island hibiscus	NZ	present	introduced		
165398	aluminium plant	NZ	present	introduced		
165399		NZ	present	introduced		
165400	lantana	NZ	present	introduced		
165401	European larch	NZ	present	introduced		
165402	everlasting pea	NZ	present	introduced		
165403	Tangier pea	NZ	present	introduced		
165404		NZ	present	introduced		
165405		NZ	present	introduced		
165406	bay tree	NZ	present	introduced		
165407		NZ	present	introduced		
165408		NZ	present	introduced		
