id	taxonID	scientificName	acceptedNameUsage	kingdom	phylum	class	order	family	taxonRank	taxonomicStatus	taxonRemarks	modified
165000	165000	Acacia baileyana	Acacia baileyana F.Muell.	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	SPECIES	ACCEPTED		2024
165001	165001	Acacia dealbata	Acacia dealbata Link	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	SPECIES	ACCEPTED		2024
165002	165002	Acacia longifolia	Acacia longifolia (Andrews) Willd.	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	SPECIES	ACCEPTED		2024
165003	165003	Acacia mearnsii	Acacia mearnsii De Wild.	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	SPECIES	ACCEPTED		2024
165004	165004	Acacia melanoxylon	Acacia melanoxylon R.Br.	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	SPECIES	ACCEPTED		2024
165005	165005	Acacia paradoxa	Acacia paradoxa DC.	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	SPECIES	ACCEPTED		2024
165006	165006	Acacia verticillata	Acacia verticillata (L'Her.) Willd.	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	SPECIES	ACCEPTED		2024
165007	165007	Acanthus mollis	Acanthus mollis L.	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	SPECIES	ACCEPTED		2024
165008	165008	Acentrogobius pflaumii	Acentrogobius pflaumii (Bleeker, 1853)	Animalia	Chordata	Actinopterygii	Perciformes	Gobiidae	SPECIES	ACCEPTED		2019
165009	165009	Acer negundo	Acer negundo L.	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	SPECIES	ACCEPTED		2024
165010	165010	Acer pseudoplatanus	Acer pseudoplatanus L.	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	SPECIES	ACCEPTED		2024
165011	165011	Acridotheres tristis	Acridotheres tristis (Linnaeus, 1766)	Animalia	Chordata	Aves	Passeriformes	Sturnidae	SPECIES	ACCEPTED		2019
165012	165012	Actinidia chinensis	Actinidia chinensis Planch.	Plantae	Tracheophyta	Magnoliopsida	Ericales	Actinidiaceae	SPECIES	ACCEPTED		2024
165013	165013	Adiantum raddianum	Adiantum raddianum C.Presl	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Pteridaceae	SPECIES	ACCEPTED		2024
165014	165014	Agapanthus praecox	Agapanthus praecox Willd.	Plantae	Tracheophyta	Liliopsida	Asparagales	Amaryllidaceae	SPECIES	ACCEPTED		2024
165015	165015	Agave americana	Agave americana L.	Plantae	Tracheophyta	Liliopsida	Asparagales	Asparagaceae	SPECIES	ACCEPTED		2024
165016	165016	Ageratina adenophora	Ageratina adenophora (Spreng.) R.M.King & H.Rob.	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	SPECIES	ACCEPTED		2024
165017	165017	Ageratina riparia	Ageratina riparia (Regel) R.M.King & H.Rob.	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	SPECIES	ACCEPTED		2024
165018	165018	Ageratum houstonianum	Ageratum houstonianum Mill.	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	SPECIES	ACCEPTED		2024
165019	165019	Agraptocorixa hirtifrons	Agraptocorixa hirtifrons (Hale, 1922)	Animalia	Arthropoda	Insecta	Hemiptera	Corixidae	SPECIES	ACCEPTED		2019
165020	165020	Agrostis capillaris	Agrostis capillaris L.	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	SPECIES	ACCEPTED		2024
165021	165021	Ailanthus altissima	Ailanthus altissima (Mill.) Swingle	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Simaroubaceae	SPECIES	ACCEPTED	Unwanted Organism (UO) | National Pest Plant Accord (NPPA)	2024
165022	165022	Akebia quinata	Akebia quinata (Houtt.) Decne.	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Lardizabalaceae	SPECIES	ACCEPTED	Unwanted Organism (UO) | National Pest Plant Accord (NPPA)	2024
165023	165023	Alauda arvensis	Alauda arvensis Linnaeus, 1758	Animalia	Chordata	Aves	Passeriformes	Alaudidae	SPECIES	ACCEPTED		2019
165024	165024	Alectoris chukar	Alectoris chukar (J.E.Gray, 1830)	Animalia	Chordata	Aves	Galliformes	Phasianidae	SPECIES	ACCEPTED		2019
165025	165025	Allium triquetrum	Allium triquetrum L.	Plantae	Tracheophyta	Liliopsida	Asparagales	Amaryllidaceae	SPECIES	ACCEPTED		2024
165026	165026	Alnus glutinosa	Alnus glutinosa (L.) Gaertn.	Plantae	Tracheophyta	Magnoliopsida	Fagales	Betulaceae	SPECIES	ACCEPTED		2024
165027	165027	Alocasia brisbanensis	Alocasia brisbanensis (F.M.Bailey) Domin	Plantae	Tracheophyta	Liliopsida	Alismatales	Araceae	SPECIES	ACCEPTED		2024
165028	165028	Aloe maculata	Aloe maculata All.	Plantae	Tracheophyta	Liliopsida	Asparagales	Asphodelaceae	SPECIES	ACCEPTED		2024
165029	165029	Alternanthera philoxeroides	Alternanthera philoxeroides (Mart.) Griseb.	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Amaranthaceae	SPECIES	ACCEPTED	Unwanted Organism (UO) | National Pest Plant Accord (NPPA)	2024
165030	165030	Amanita muscaria	Amanita muscaria (L.) Lam., 1783	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	SPECIES	ACCEPTED		2019
165031	165031	Amathia chimonidesi	Amathia chimonidesi Gordon & Spencer-Jones, 2013	Animalia	Bryozoa	Gymnolaemata	Ctenostomatida	Vesiculariidae	SPECIES	ACCEPTED		2019
165032	165032	Amathia distans	Amathia distans Busk, 1886	Animalia	Bryozoa	Gymnolaemata	Ctenostomatida	Vesiculariidae	SPECIES	ACCEPTED		2019
165033	165033	Amathia gracilis	Amathia gracilis (Leidy, 1855)	Animalia	Bryozoa	Gymnolaemata	Ctenostomatida	Vesiculariidae	SPECIES	ACCEPTED		2019
165034	165034	Amathia imbricata	Amathia imbricata (Adams, 1798)	Animalia	Bryozoa	Gymnolaemata	Ctenostomatida	Vesiculariidae	SPECIES	ACCEPTED		2019
165035	165035	Amathia verticillata	Amathia verticillata (delle Chiaje, 1822)	Animalia	Bryozoa	Gymnolaemata	Ctenostomatida	Vesiculariidae	SPECIES	ACCEPTED		2019
165036	165036	Amblyopone australis	Amblyopone australis Erichson, 1842	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	SPECIES	ACCEPTED		2019
165037	165037	Ameiurus nebulosus	Ameiurus nebulosus (Lesueur, 1819)	Animalia	Chordata	Actinopterygii	Siluriformes	Ictaluridae	SPECIES	ACCEPTED		2019
165038	165038	Amphibalanus amphitrite	Amphibalanus amphitrite Darwin, 1854	Animalia	Arthropoda	Maxillopoda	Sessilia	Balanidae	SPECIES	ACCEPTED		2019
165039	165039	Amphilectus fucorum	Amphilectus fucorum (Esper, 1794)	Animalia	Porifera	Demospongiae	Poecilosclerida	Esperiopsidae	SPECIES	ACCEPTED		2019
165040	165040	Amphilophium crucigerum	Amphilophium crucigerum (L.) L.G.Lohmann	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Bignoniaceae	SPECIES	ACCEPTED	Unwanted Organism (UO) | National Pest Plant Accord (NPPA)	2024
165041	165041	Amphisbetia maplestonei	Amphisbetia maplestonei (Bale, 1884)	Animalia	Cnidaria	Hydrozoa	Leptothecata	Sertulariidae	SPECIES	ACCEPTED		2019
165042	165042	Anas platyrhynchos	Anas platyrhynchos Linnaeus, 1758	Animalia	Chordata	Aves	Anseriformes	Anatidae	SPECIES	ACCEPTED		2019
165043	165043	Andropogon virginicus	Andropogon virginicus L.	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	SPECIES	ACCEPTED		2024
165044	165044	Angelica pachycarpa	Angelica pachycarpa Lange	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	SPECIES	ACCEPTED		2024
